;Country;GiniCoeff21
0;Afghanistan;29.4
1;Albania;33.2
2;Algeria;27.4
3;Angola;51.3
4;Argentina;41.4
5;Armenia;34.4
6;Australia;34.4
7;Austria;29.7
8;Azerbaijan;33.7
9;Bangladesh;32.4
10;Belarus;25.2
11;Belgium;27.4
12;Benin;47.8
13;Bhutan;37.4
14;Bolivia;42.2
15;Bosnia and Herzegovina;33.0
16;Botswana;53.3
17;Brazil;53.9
18;Bulgaria;40.4
19;Burkina Faso;35.3
20;Burundi;38.6
21;Cambodia;37.9
22;Cameroon;46.5
23;Canada;33.3
24;Central African Republic;43.6
25;Chad;43.3
26;Chile;44.4
27;Colombia;50.4
28;Comoros;45.3
29;Congo (Brazzaville);48.9
30;Congo (Kinshasa);42.1
31;Costa Rica;48.0
32;Croatia;30.4
33;Cyprus;31.4
34;Denmark;28.7
35;Djibouti;41.6
36;Dominican Republic;43.7
37;Ecuador;45.4
38;Egypt;31.5
39;El Salvador;38.6
40;Estonia;30.4
41;Ethiopia;35.0
42;Finland;27.4
43;France;31.6
44;Gabon;38.0
45;Georgia;36.4
46;Germany;31.9
47;Ghana;43.5
48;Greece;34.4
49;Guatemala;48.3
50;Guyana;44.6
51;Haiti;41.1
52;Honduras;52.1
53;Hungary;30.6
54;Iceland;26.8
55;India;35.7
56;Indonesia;37.8
57;Iran;40.8
58;Iraq;29.5
59;Ireland;32.8
60;Israel;39.0
61;Italy;35.9
62;Ivory Coast;41.5
63;Jamaica;35.0
64;Japan;32.9
65;Jordan;33.7
66;Kazakhstan;27.5
67;Kenya;40.8
68;Kyrgyzstan;27.7
69;Laos;36.4
70;Latvia;35.6
71;Lebanon;31.8
72;Lesotho;44.9
73;Liberia;35.3
74;Lithuania;37.3
75;Luxembourg;34.9
76;Madagascar;42.6
77;Malawi;44.7
78;Malaysia;41.0
79;Mali;40.1
80;Malta;29.2
81;Mauritania;32.6
82;Mauritius;36.8
83;Mexico;36.8
84;Moldova;25.7
85;Mongolia;32.7
86;Montenegro;39.0
87;Morocco;39.5
88;Mozambique;54.0
89;Namibia;59.1
90;Nepal;32.8
91;Netherlands;28.5
92;New Zealand;36.2
93;Nicaragua;46.2
94;Niger;34.3
95;Nigeria;35.1
96;Norway;27.0
97;Pakistan;33.5
98;Panama;49.2
99;Paraguay;46.2
100;Peru;42.8
101;Philippines;44.4
102;Poland;29.7
103;Portugal;33.8
104;Qatar;41.1
105;Romania;36.0
106;Russia;37.5
107;Rwanda;43.7
108;Saudi Arabia;45.9
109;Senegal;40.3
110;Serbia;36.2
111;Sierra Leone;35.7
112;Singapore;45.9
113;Slovakia;25.2
114;Slovenia;24.2
115;South Africa;63.0
116;South Korea;35.4
117;Spain;34.7
118;Sri Lanka;39.8
119;Sudan;34.2
120;Swaziland;54.6
121;Sweden;28.8
122;Switzerland;32.7
123;Taiwan Province of China;33.6
124;Tajikistan;34.0
125;Tanzania;40.5
126;Thailand;36.4
127;Togo;43.1
128;Tunisia;32.8
129;Turkey;41.9
130;Uganda;42.8
131;Ukraine;26.1
132;United Arab Emirates;32.5
133;United Kingdom;34.8
134;United States;41.1
135;Uruguay;39.7
136;Uzbekistan;36.8
137;Venezuela;39.0
138;Vietnam;35.7
139;Yemen;36.7
140;Zambia;57.1
141;Zimbabwe;44.3
